NoUtilisateur;MotDePasse;Statut;NomComplet;Courriel;;;
b.alarie;Secret59003;U;Alarie, Benoît;b.alarie@cavenir.qc.ca;;;";"
d.bessette;Secret51412;U;Bessette, Danielle;d.bessette@cavenir.qc.ca;;;
c.boivert;Secret14270;U;Boivert, Charlène;c.boivert@cavenir.qc.ca;;;
g.bouchard;Secret14379;U;Bouchard, Geneviève;g.bouchard@cavenir.qc.ca;;;
d.boyce;Secret24590;U;Boyce, Dominique;d.boyce@cavenir.qc.ca;;;
l.brodeur;Secret12345;A;Brodeur, Louis;l.brodeur@cavenir.qc.ca;;;
d.caron;Secret77489;U;Caron, Dany;d.caron@cavenir.qc.ca;;;
l.caron;Secret12345;A;Caron, Lise;l.caron@cavenir.qc.ca;;;
b.chabotgiguere;Secret31309;U;Chabot-Giguère, Brigitte;b.chabot-giguere@cavenir.qc.ca;;;
b.dalemans;Secret13917;U;Dalemans, Bernice;b.dalemans@cavenir.qc.ca;;;
j.delmotte;Secret58382;U;Delmotte, Jacinthe;j.delmotte@cavenir.qc.ca;;;
j.desmarais;Secret94779;U;Desmarais, Jannie;j.desmarais@cavenir.qc.ca;;;
m.desrochers;Secret77416;U;Desrochers, Mélanie;m.desrochers@cavenir.qc.ca;;;
k.doin;Secret58366;U;Doin, Karine;k.doin@cavenir.qc.ca;;;
j.dufresne;Secret57785;U;Dufresne, Josée;j.dufresne@cavenir.qc.ca;;;
jf.giroux;Secret64343;U;Giroux, Jean-François;jf.giroux@cavenir.qc.ca;;;
s.grisetetrault;Secret53737;U;Grisé-Tétrault, Simon;s.grise-tetrault@cavenir.qc.ca;;;
j.hubert;Secret12345;A;Hubert, Jacqueline;j.hubert@cavenir.qc.ca;;;
s.julien;Secret17638;U;Julien, Sonia;s.julien@cavenir.qc.ca;;;
n.laliberte;Secret18428;U;Laliberté, Nicole;n.laliberte@cavenir.qc.ca;;;
s.lamarche;Secret46088;U;Lamarche, Sophie;s.lamarche@cavenir.qc.ca;;;
p.lamarre;Secret12345;A;Lamarre, Pierre;p.lamarre@cavenir.qc.ca;;;
a.lanctotvillemure;Secret96703;U;Lanctôt-Villemure, Alexandre;a.lanctot-villemure@cavenir.qc.ca;;;
m.lapierre;Secret81822;U;Lapierre, Mélanie;m.lapierre@cavenir.qc.ca;;;
k.lavallee;Secret74275;U;Lavallée, Katia;k.lavallee@cavenir.qc.ca;;;
a.leclerc;Secret12345;A;Leclerc, Alain;a.leclerc@cavenir.qc.ca;;;
s.lemieux;Secret31225;U;Lemieux, Sylvain;s.lemieux@cavenir.qc.ca;;;
v.lento;Secret81297;U;Lento, Valérie;v.lento@cavenir.qc.ca;;;
me.locasbourcier;Secret65628;U;Locas-Bourcier, Marie-ève;me.locas-bourcier@cavenir.qc.ca;;;
mc.maltais;Secret57215;U;Maltais, Marie-Claude;mc.maltais@cavenir.qc.ca;;;
a.milos;Secret12345;A;Milos, Amir;a.milos@cavenir.qc.ca;;;
ml.morin;Secret99016;U;Morin, Marie-Line;ml.morin@cavenir.qc.ca;;;
hp.nguyen;Secret12345;A;Nguyen, Huu Phuoc;hp.nguyen@cavenir.qc.ca;;;
mj.ouellette;Secret78328;U;Ouellette, Marie-Josée;mj.ouellette@cavenir.qc.ca;;;
a.ouimet;Secret48179;U;Ouimet, Alexandra;a.ouimet@cavenir.qc.ca;;;
mj.patry;Secret49222;U;Patry, Marie-Josée;mj.patry@cavenir.qc.ca;;;
aa.picard;Secret50895;U;Picard, Andrée-Anne;aa.picard@cavenir.qc.ca;;;
a.rivard;Secret50855;U;Rivard, Astrid;a.rivard@cavenir.qc.ca;;;
a.rousson;Secret98757;U;Rousson, Audrey;a.rousson@cavenir.qc.ca;;;
